AÑO;MES;PAIS_ORIGEN;CCAA;KEY;PROVINCIA;INIDICE_PERCEPCION_TURISTICA_GLOBAL;INDICE_SATISFACCION_PRODUCTOS_TURISTICOS;INDICE_PERCEPCION_SEGURIDAD;INDICE_PERCEPCION_CLIMATICA;Afluencia
2022;11;España;Andalucía;2022Andalucía;Cádiz;81,4;64,15;86,21;86,53;102913750
2022;11;España;Andalucía;2022Andalucía;Córdoba;79,78;63,79;78,34;91,7;102913750
2022;11;España;Andalucía;2022Andalucía;Granada;83,56;67,42;89,3;86,18;102913750
2022;11;España;Andalucía;2022Andalucía;Huelva;78,54;65,42;77,95;92,7;102913750
2022;11;España;Andalucía;2022Andalucía;Jaén;85,06;71,54;87,4;91,79;102913750
2022;11;España;Andalucía;2022Andalucía;Málaga;81,34;62,72;82,91;90,61;102913750
2022;11;España;Andalucía;2022Andalucía;Sevilla;73,45;54,11;77,38;89,63;102913750
2022;11;España;Aragón;2022Aragón;Huesca;85,67;76,24;85,4;89,13;9213130
2022;11;España;Aragón;2022Aragón;Teruel;79,13;78,85;85,96;72,12;9213130
2022;11;España;Aragón;2022Aragón;Zaragoza;86,58;67,66;93,29;95;9213130
2022;11;España;Canarias;2022Canarias;Las Palmas;80,82;59,94;90,49;82,77;120812470
2022;11;España;Canarias;2022Canarias;Santa Cruz de Tenerife;75,13;62,2;85,65;71,12;120812470
2022;11;España;Cantabria;2022Cantabria;Cantabria;70,64;62,54;86,07;53,56;3625070
2022;11;España;Castilla - La Mancha;2022Castilla - La Mancha;Albacete;75,59;55,93;73,59;92,39;8851320
2022;11;España;Castilla - La Mancha;2022Castilla - La Mancha;Ciudad Real;82,34;63,99;85,9;89,5;8851320
2022;11;España;Castilla - La Mancha;2022Castilla - La Mancha;Cuenca;85,91;76,13;84,82;90,52;8851320
2022;11;España;Castilla - La Mancha;2022Castilla - La Mancha;Guadalajara;84,19;68,65;84,17;93,37;8851320
2022;11;España;Castilla - La Mancha;2022Castilla - La Mancha;Toledo;81,93;66,31;84,83;90,96;8851320
2022;11;España;Castilla y León;2022Castilla y León;Burgos;79,66;66,74;85,6;93,4;19908870
2022;11;España;Castilla y León;2022Castilla y León;León;83,52;68,99;90,41;85,71;19908870
2022;11;España;Castilla y León;2022Castilla y León;Palencia;81,09;69,12;82,04;82,98;19908870
2022;11;España;Castilla y León;2022Castilla y León;Salamanca;73,74;54,33;81,69;87,47;19908870
2022;11;España;Castilla y León;2022Castilla y León;Segovia;74,48;56,04;77,04;78,23;19908870
2022;11;España;Castilla y León;2022Castilla y León;Soria;81,33;62,84;89,51;85,8;19908870
2022;11;España;Castilla y León;2022Castilla y León;Valladolid;78,49;62,86;92,53;83,31;19908870
2022;11;España;Castilla y León;2022Castilla y León;Zamora;85,89;63,1;92,53;96,82;19908870
2022;11;España;Castilla y León;2022Castilla y León;Ávila;85,58;78,8;88,01;82,14;19908870
2022;11;España;Cataluña;2022Cataluña;Barcelona;62,81;46,58;78,56;57,72;147148600
2022;11;España;Cataluña;2022Cataluña;Girona;70,54;52,27;74,82;87,3;147148600
2022;11;España;Cataluña;2022Cataluña;Lleida;69,11;48,85;76,36;89,44;147148600
2022;11;España;Cataluña;2022Cataluña;Tarragona;70,64;61,07;74,23;74,15;147148600
2022;11;España;Comunidad Foral de Navarra;2022Comunidad Foral de Navarra;Navarra;72,8;54,87;89,24;83,47;6680800
2022;11;España;Comunidad de Madrid;2022Comunidad de Madrid;Madrid;69,76;42,36;87,2;90,74;57762060
2022;11;España;Comunitat Valenciana;2022Comunitat Valenciana;Castellón/Castelló;53,24;48,07;64,43;38,66;75097560
2022;11;España;Comunitat Valenciana;2022Comunitat Valenciana;Valencia/València;67,96;57,68;74,94;70,14;75097560
2022;11;España;Extremadura;2022Extremadura;Badajoz;75,26;74,05;88,13;46,42;6756390
2022;11;España;Extremadura;2022Extremadura;Cáceres;62,69;60,02;70,47;47,92;6756390
2022;11;España;Galicia;2022Galicia;A Coruña;76,02;49,98;91,07;85,03;17722870
2022;11;España;Galicia;2022Galicia;Lugo;67,31;47,21;65,62;93,98;17722870
2022;11;España;Galicia;2022Galicia;Ourense;78,03;48,75;94,63;94,67;17722870
2022;11;España;Galicia;2022Galicia;Pontevedra;77,74;57,69;94,04;80,97;17722870
2022;11;España;Illes Balears;2022Illes Balears;Illes Balears;58,56;45,91;90,04;34,58;129479670
2022;11;España;La Rioja;2022La Rioja;La Rioja;85,92;74,68;92,68;82,86;1308010
2022;11;España;País Vasco;2022País Vasco;Araba/Álava;66,9;54,88;74,7;68,97;23385180
2022;11;España;País Vasco;2022País Vasco;Bizkaia;74,34;65,02;85,59;56,61;23385180
2022;11;España;País Vasco;2022País Vasco;Gipuzkoa;57,86;53,02;84,89;5,95;23385180
2022;11;España;Principado de Asturias;2022Principado de Asturias;Asturias;51,43;31,19;42,38;79,75;4098650
2022;11;España;Región de Murcia;2022Región de Murcia;Murcia;79,11;62,07;86,32;86,33;9521960
2022;11;Estados Unidos de América;Andalucía;2022Andalucía;Málaga;79,26;64,7;86,24;86,34;102913750
2022;11;Estados Unidos de América;Andalucía;2022Andalucía;Sevilla;88,41;72,85;94,88;92,38;102913750
2022;11;Estados Unidos de América;Canarias;2022Canarias;Las Palmas;70,18;61,65;69,48;77,27;120812470
2022;11;Estados Unidos de América;Canarias;2022Canarias;Santa Cruz de Tenerife;75,03;59,55;91,3;74,09;120812470
2022;11;Estados Unidos de América;Cataluña;2022Cataluña;Barcelona;74,94;43,81;88,7;95,79;147148600
2022;11;Estados Unidos de América;Cataluña;2022Cataluña;Girona;75,74;78,1;85,53;78,45;147148600
2022;11;Estados Unidos de América;Comunidad Foral de Navarra;2022Comunidad Foral de Navarra;Navarra;72,51;56,46;73,22;86,7;6680800
2022;11;Estados Unidos de América;Comunitat Valenciana;2022Comunitat Valenciana;Alicante/Alacant;46,56;43,15;86,24;4,37;75097560
2022;11;Estados Unidos de América;Comunitat Valenciana;2022Comunitat Valenciana;Valencia/València;62,03;67,89;84,17;5,66;75097560
2022;11;Estados Unidos de América;Extremadura;2022Extremadura;Badajoz;86,98;75,12;88,58;91,5;6756390
2022;11;Estados Unidos de América;Extremadura;2022Extremadura;Cáceres;36,58;28,93;11,88;87,5;6756390
2022;11;Estados Unidos de América;Illes Balears;2022Illes Balears;Illes Balears;78,15;56,36;89,07;87,79;129479670
2022;11;Francia;Andalucía;2022Andalucía;Sevilla;72,83;69,84;77,92;67,11;102913750
2022;11;Francia;Canarias;2022Canarias;Santa Cruz de Tenerife;77,98;60,64;89,1;83,77;120812470
2022;11;Francia;Cataluña;2022Cataluña;Barcelona;78,72;73,24;90,58;67,73;147148600
2022;11;Francia;Comunidad de Madrid;2022Comunidad de Madrid;Madrid;71,13;70,87;71,71;71,91;57762060
2022;11;Francia;Illes Balears;2022Illes Balears;Illes Balears;66,9;50,33;83,86;75,96;129479670
2022;11;Italia;Comunitat Valenciana;2022Comunitat Valenciana;Castellón/Castelló;78,45;68,55;70,47;96,33;75097560
2022;11;Reino Unido;Andalucía;2022Andalucía;Cádiz;70,99;62,91;87,66;54,04;102913750
2022;11;Reino Unido;Andalucía;2022Andalucía;Málaga;78,95;67,11;82,52;90,23;102913750
2022;11;Reino Unido;Canarias;2022Canarias;Las Palmas;82,99;63,17;95,08;83,5;120812470
2022;11;Reino Unido;Canarias;2022Canarias;Santa Cruz de Tenerife;81,45;57,88;97,2;91,67;120812470
2022;11;Reino Unido;Cataluña;2022Cataluña;Barcelona;73,73;54,33;87,76;86,98;147148600
2022;11;Reino Unido;Cataluña;2022Cataluña;Lleida;75,04;61,56;89,77;84,76;147148600
2022;11;Reino Unido;Comunitat Valenciana;2022Comunitat Valenciana;Alicante/Alacant;81,13;68,11;94,08;75,75;75097560
